Word,Freq
special,385
thanks,458
are,19736
due,564
to,177245
sharon,9
partridge,69
for,56380
extensive,118
proofreading,33
and,259186
correction,45
of,220937
this,30731
etext,84
sense,1022
sensibility,58
by,32326
jane,299
austen,5
chapter,1526
the,429906
family,1552
dashwood,254
had,44099
long,6140
been,14903
settled,483
in,114898
sussex,17
their,19954
estate,297
was,78166
large,2210
residence,216
at,37416
norland,53
park,241
centre,249
property,335
where,6680
many,4954
generations,205
they,32679
lived,978
so,23525
respectable,186
a,144997
manner,1863
as,49441
engage,103
general,1485
good,7950
opinion,831
surrounding,115
acquaintance,494
late,1062
owner,295
single,776
man,15033
who,16732
very,11365
advanced,304
age,944
years,3605
his,70723
life,5837
constant,226
companion,702
housekeeper,72
sister,1195
but,40545
her,36454
death,2711
which,31712
happened,1222
ten,1708
before,10027
own,6518
produced,443
great,7554
alteration,66
home,2964
supply,312
loss,488
he,88999
invited,287
received,1463
into,13628
house,7453
nephew,128
mr,7613
henry,307
legal,144
inheritor,5
person,1426
whom,3534
intended,403
bequeath,17
it,74258
society,573
niece,129
children,3344
old,6612
gentleman,1313
s,36030
days,3514
were,23263
comfortably,79
spent,546
attachment,121
them,21654
all,30278
increased,368
attention,1034
mrs,4419
wishes,301
proceeded,439
not,40546
merely,573
from,28709
interest,1214
goodness,266
heart,4067
gave,3196
him,35914
every,6660
degree,506
solid,273
comfort,522
could,13035
receive,797
cheerfulness,73
added,848
relish,92
existence,416
former,600
marriage,733
one,22096
son,4504
present,2023
lady,2293
three,4247
daughters,468
steady,233
young,4006
amply,32
provided,399
fortune,830
mother,3097
half,3031
devolved,8
on,35042
coming,1625
likewise,320
soon,3065
afterwards,635
wealth,319
therefore,2883
succession,138
really,1453
important,610
sisters,198
independent,140
what,16941
might,5714
arise,304
father,4242
inheriting,3
that,90710
be,40546
small,2593
nothing,4683
only,8415
seven,1355
thousand,2185
pounds,648
disposal,89
remaining,178
moiety,4
first,6591
wife,2465
also,4837
secured,184
child,1433
died,1021
will,17265
read,1551
like,10104
almost,1979
other,8490
much,6637
disappointment,211
pleasure,942
neither,2073
unjust,112
nor,3290
ungrateful,87
leave,2058
left,4159
such,7951
terms,393
destroyed,405
value,456
bequest,20
wished,693
more,12058
sake,690
than,9567
himself,6483
or,17104
four,2231
way,7032
no,20274
power,2209
providing,59
those,5221
most,5625
dear,1864
needed,343
provision,92
